State,HS Graduates Going Directly to College (%) - 2014
Alabama,62.1
Alaska,44.0
Arizona,52.3
Arkansas,63.5
California,60.9
Colorado,58.2
Connecticut,73.4
Delaware,63.2
Florida,63.4
Georgia,63.6
Hawaii,60.8
Idaho,43.7
Illinois,61.5
Indiana,61.3
Iowa,67.2
Kansas,65.4
Kentucky,63.6
Louisiana,69.5
Maine,54.6
Maryland,63.9
Massachusetts,74.5
Michigan,64.0
Minnesota,69.9
Mississippi,72.2
Missouri,62.1
Montana,60.9
Nebraska,62.5
Nevada,52.7
New Hampshire,61.5
New Jersey,69.8
New Mexico,63.3
New York,69.3
North Carolina,62.9
North Dakota,65.9
Ohio,62.5
Oklahoma,63.0
Oregon,47.6
Pennsylvania,61.6
Rhode Island,62.0
South Carolina,68.1
South Dakota,67.2
Tennessee,64.5
Texas,58.7
Utah,45.3
Vermont,54.0
Virginia,67.7
Washington,50.1
West Virginia,54.7
Wisconsin,61.3
Wyoming,53.8
Nation,62.6
