State,HS Graduates Going Directly to College (%) - 2012
Alabama,59.1
Alaska,45.9
Arizona,53.5
Arkansas,67.8
California,58.4
Colorado,59.3
Connecticut,71.6
Delaware,65.1
Florida,64.1
Georgia,67.6
Hawaii,64.2
Idaho,49.3
Illinois,60.1
Indiana,62.6
Iowa,67.0
Kansas,65.1
Kentucky,63.0
Louisiana,65.9
Maine,54.0
Maryland,60.4
Massachusetts,71.6
Michigan,62.9
Minnesota,69.8
Mississippi,79.5
Missouri,62.4
Montana,59.5
Nebraska,65.4
Nevada,54.6
New Hampshire,62.0
New Jersey,68.1
New Mexico,68.9
New York,69.0
North Carolina,62.0
North Dakota,65.4
Ohio,60.3
Oklahoma,59.1
Oregon,47.3
Pennsylvania,59.0
Rhode Island,65.8
South Carolina,65.6
South Dakota,66.6
Tennessee,61.3
Texas,58.0
Utah,53.0
Vermont,52.4
Virginia,64.6
Washington,49.5
West Virginia,56.5
Wisconsin,61.6
Wyoming,56.7
Nation,61.9
