State,HS Graduates Going Directly to College (%) - 2010,High School Graduates - 2010,First-Time College Freshmen - 2010
Alabama,63.2,48443,30616
Alaska,46.4,8434,3915
Arizona,57.9,63900,37006
Arkansas,65.4,29606,19348
California,61.7,440243,271669
Colorado,61.2,52158,31902
Connecticut,78.7,40728,32068
Delaware,47.3,9980,4718
Florida,63.1,174385,109789
Georgia,67.7,99883,67659
Hawaii,63.6,13657,8683
Idaho,45.1,18336,8273
Illinois,58.7,154142,90456
Indiana,65.8,69783,45900
Iowa,66.6,36711,24442
Kansas,64.7,33808,21889
Kentucky,62.9,46601,29320
Louisiana,64.7,44709,28912
Maine,56.2,16431,9234
Maryland,64.1,68306,43730
Massachusetts,73.2,75092,54966
Michigan,61.9,119201,73740
Minnesota,70.9,63908,45340
Mississippi,78.8,28836,22726
Missouri,61.4,71037,43633
Montana,60.5,10447,6320
Nebraska,69.5,21374,14858
Nevada,51.8,21780,11280
New Hampshire,64.3,17497,11256
New Jersey,68.6,110573,75893
New Mexico,72.4,19982,14461
New York,68.9,215071,148101
North Carolina,64.1,94431,60395
North Dakota,67.4,7605,5125
Ohio,61.5,136740,84068
Oklahoma,60.2,40034,24100
Oregon,47.8,37810,18072
Pennsylvania,60.9,149845,91298
Rhode Island,65.4,11726,7667
South Carolina,68.3,43511,29709
South Dakota,71.8,8680,6232
Tennessee,62.1,68627,42515
Texas,56.2,293797,164980
Utah,53.3,32751,17442
Vermont,53.5,8366,4478
Virginia,63.8,88022,56202
Washington,48.3,70494,34030
West Virginia,59.2,18390,10885
Wisconsin,60.1,70294,42241
Wyoming,60.4,5725,3459
Nation,62.5,3431890,2145001
