,Percent of High School Graduates Going Directly to College (%),High School Graduates - 2012,First-Time Freshmen Directly from High School Enrolled Anywhere in the US - Fall 2012
Alabama,59.1,50263,29704
Alaska,45.9,8159,3747
Arizona,53.5,65977,35265
Arkansas,67.8,29807,20206
California,58.4,453078,264798
Colorado,59.3,52971,31435
Connecticut,71.6,44495,31857
Delaware,65.1,10015,6515
Florida,64.1,170505,109358
Georgia,67.6,98481,66548
Hawaii,64.2,14113,9056
Idaho,49.3,18174,8954
Illinois,60.1,154138,92689
Indiana,62.6,71449,44736
Iowa,67,35498,23778
Kansas,65.1,34199,22251
Kentucky,63,46882,29540
Louisiana,65.9,43759,28851
Maine,54,16141,8716
Maryland,60.4,68046,41114
Massachusetts,71.6,75369,54000
Michigan,62.9,112863,71026
Minnesota,69.8,62086,43310
Mississippi,79.5,29536,23496
Missouri,62.4,68708,42871
Montana,59.5,10140,6035
Nebraska,65.4,22783,14900
Nevada,54.6,22790,12451
New Hampshire,62,16872,10464
New Jersey,68.1,107257,73062
New Mexico,68.9,21523,14838
New York,69,212474,146693
North Carolina,62,100257,62110
North Dakota,65.4,7373,4825
Ohio,60.3,136066,82024
Oklahoma,59.1,39149,23118
Oregon,47.3,37262,17627
Pennsylvania,59,148098,87418
Rhode Island,65.8,11834,7791
South Carolina,65.6,44241,29040
South Dakota,66.6,8867,5902
Tennessee,61.3,68331,41876
Texas,58,305710,177209
Utah,53,32426,17200
Vermont,52.4,7947,4166
Virginia,64.6,89956,58094
Washington,49.5,69426,34389
West Virginia,56.5,18277,10334
Wisconsin,61.6,68185,42012
Wyoming,56.7,5650,3203
Nation,61.9,3447606,2133068
