State,Percent of High School Graduates Going Directly to College (%),High School Graduates - 2016,First-Time Freshmen Directly from High School Enrolled Anywhere in the US - Fall 2016
Alabama,66.4,49386,32787
Alaska,43.8,7589,3322
Arizona,53.7,67549,36305
Arkansas,62.6,31144,19505
California,63.2,434112,274294
Colorado,60.1,55366,33290
Connecticut,73.9,41580,30717
Delaware,70.5,9509,6703
Florida,62.2,177533,110510
Georgia,65,104126,67724
Hawaii,61.7,13349,8238
Idaho,43.8,19915,8725
Illinois,63.3,145482,92163
Indiana,61,71973,43921
Iowa,66,34852,23007
Kansas,64.8,34431,22305
Kentucky,60,46223,27724
Louisiana,70.7,44915,31760
Maine,56.6,15040,8515
Maryland,64.8,63747,41310
Massachusetts,73.1,75204,54938
Michigan,64.2,105688,67904
Minnesota,70,60515,42352
Mississippi,77.5,28823,22352
Missouri,58.6,68523,40123
Montana,55.1,9648,5320
Nebraska,64.8,22707,14714
Nevada,56,24119,13502
New Hampshire,60.8,15896,9662
New Jersey,71.1,105062,74669
New Mexico,69.3,19994,13848
New York,71.4,203560,145311
North Carolina,64.2,102389,65765
North Dakota,65.4,7463,4877
Ohio,61.8,125662,77680
Oklahoma,58.8,40695,23917
Oregon,49.3,37210,18333
Pennsylvania,62.4,137546,85873
Rhode Island,62.4,11294,7050
South Carolina,68.5,44750,30640
South Dakota,68.5,8360,5723
Tennessee,69.7,66235,46150
Texas,57.7,328841,189696
Utah,47.1,36614,17232
Vermont,52.6,7069,3717
Virginia,68.3,88707,60603
Washington,51.4,69757,35824
West Virginia,58.4,17990,10512
Wisconsin,58.6,65174,38177
Wyoming,56.5,5715,3227
Nation,63.1,3414424,2154981
