State,HS Graduates Going Directly to College (%) - 2016
Alabama,66.4
Alaska,43.8
Arizona,53.7
Arkansas,62.6
California,63.2
Colorado,60.1
Connecticut,73.9
Delaware,70.5
Florida,62.2
Georgia,65.0
Hawaii,61.7
Idaho,43.8
Illinois,63.3
Indiana,61.0
Iowa,66.0
Kansas,64.8
Kentucky,60.0
Louisiana,70.7
Maine,56.6
Maryland,64.8
Massachusetts,73.1
Michigan,64.2
Minnesota,70.0
Mississippi,77.5
Missouri,58.6
Montana,55.1
Nebraska,64.8
Nevada,56.0
New Hampshire,60.8
New Jersey,71.1
New Mexico,69.3
New York,71.4
North Carolina,64.2
North Dakota,65.4
Ohio,61.8
Oklahoma,58.8
Oregon,49.3
Pennsylvania,62.4
Rhode Island,62.4
South Carolina,68.5
South Dakota,68.5
Tennessee,69.7
Texas,57.7
Utah,47.1
Vermont,52.6
Virginia,68.3
Washington,51.4
West Virginia,58.4
Wisconsin,58.6
Wyoming,56.5
Nation,63.1
