STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,Year
ALABAMA,2016,734652,7498567,797631,4097696,7708845,3865453,2016
ALASKA,2016,132477,2494691,307320,1613675,2623014,1251738,2016
ARIZONA,2016,938274,8503034,1160908,3440726,7987011,3872250,2016
ARKANSAS,2016,479177,5401016,593656,4122377,5434193,2658253,2016
CALIFORNIA,2016,6217031,89217262,7709079,50904567,85320133,42587272,2016
COLORADO,2016,880678,10123271,713914,4365019,9878524,4786838,2016
CONNECTICUT,2016,499494,11419673,468595,4411204,10826431,6110631,2016
DELAWARE,2016,121225,2043577,134412,1172219,2041952,1126775,2016
DISTRICT_OF_COLUMBIA,2016,48336,1329719,154922,0,1322563,594396,2016
FLORIDA,2016,2776933,28125598,3147329,10963807,27945116,15212112,2016
GEORGIA,2016,1727085,19403453,1807371,8771192,19158388,10534931,2016
HAWAII,2016,181995,3030519,261131,2710361,2733094,1468044,2016
IDAHO,2016,274849,2266490,240322,1454830,2100980,1171313,2016
ILLINOIS,2016,2030717,32908958,2331724,12053316,33037244,17804976,2016
INDIANA,2016,1002696,12732161,954837,7780711,11535287,5730602,2016
IOWA,2016,508014,6919477,464852,3583134,6972412,3447707,2016
KANSAS,2016,495545,6069563,453922,3949517,6134836,3006786,2016
KENTUCKY,2016,686440,7745928,880296,4269100,7786281,3917968,2016
LOUISIANA,2016,660561,8397136,1021465,3480353,8248660,4095916,2016
MAINE,2016,179879,2845391,185803,1074641,2706103,1437164,2016
MARYLAND,2016,879196,14409321,823599,6334951,13992191,7779504,2016
MASSACHUSETTS,2016,921029,17484704,765043,6770086,17037880,9991819,2016
MICHIGAN,2016,1335713,19416061,1552824,10727785,18001445,9113469,2016
MINNESOTA,2016,811157,12186135,634332,7887346,12848946,6548885,2016
MISSISSIPPI,2016,486245,4755399,690724,2411621,4631356,2407637,2016
MISSOURI,2016,891554,10893231,924655,4568867,10719882,5488433,2016
MONTANA,2016,145240,1800909,220340,840804,1879789,973199,2016
NEBRASKA,2016,315542,4398811,346826,1437048,4640422,2526973,2016
NEVADA,2016,441623,4482886,401323,2816911,4374249,2288790,2016
NEW_HAMPSHIRE,2016,179682,3150473,169166,1004753,3124778,1743022,2016
NEW_JERSEY,2016,1364473,30012666,1187430,11681799,29665476,15831343,2016
NEW_MEXICO,2016,319861,3765069,506995,2591444,3729397,1733158,2016
NEW_YORK,2016,2590945,66912661,3369803,27437593,68282026,43964520,2016
NORTH_CAROLINA,2016,1462036,13448045,1557900,8287126,14207389,8060544,2016
NORTH_DAKOTA,2016,108384,1788749,155453,985365,1963630,867650,2016
OHIO,2016,1595024,23766529,1680983,9277802,23352516,12247509,2016
OKLAHOMA,2016,672777,6103728,689756,2909651,6184152,3047217,2016
OREGON,2016,574252,7418055,582560,3861438,7501954,3834741,2016
PENNSYLVANIA,2016,1572593,31077289,1904293,11181046,30925177,16717308,2016
RHODE_ISLAND,2016,133856,2401541,175379,940989,2358654,1340088,2016
SOUTH_CAROLINA,2016,743320,9161667,840786,4262164,9187299,4274682,2016
SOUTH_DAKOTA,2016,134045,1455737,196644,438629,1475864,730176,2016
TENNESSEE,2016,999265,9585331,1095415,4395757,9680512,5401812,2016
TEXAS,2016,5053291,58284155,5953348,22004299,59314884,27862199,2016
UTAH,2016,580215,4952923,394060,2533573,4923657,2591600,2016
VERMONT,2016,87974,2112365,111891,1614518,2082696,1013209,2016
VIRGINIA,2016,1283493,16259274,1058146,6297587,16497520,8944614,2016
WASHINGTON,2016,1083973,14964364,1097684,9211201,15253296,7087365,2016
WEST_VIRGINIA,2016,276764,3391579,358068,1863062,3366566,1804235,2016
WISCONSIN,2016,857736,11697466,782610,5986763,11787535,5760418,2016
WYOMING,2016,94511,2044669,123012,1175899,2034229,921494,2016
