STATE,ENROLL,YRDATA,TOTALREV,TOTALEXP,Profit Loss
Alabama,5441.866666666667,2016.0,55544.94074074074,57102.555555555555,-1557.6148148148147
Alaska,2453.277777777778,2016.0,46197.98148148148,48574.333333333336,-2376.3518518518517
Arizona,3975.737288135593,2016.0,36029.80508474576,33843.266949152545,2186.5381355932204
Arkansas,1924.4056224899598,2016.0,21690.82730923695,21824.06827309237,-133.24096385542168
California,5915.348239771646,2016.0,84887.97526165556,81179.95528068506,3708.019980970504
Colorado,4470.446700507614,2016.0,51387.16243654822,50144.79187817259,1242.3705583756346
Connecticut,2870.655172413793,2016.0,65630.30459770115,62220.86781609195,3409.4367816091954
Delaware,6380.263157894737,2016.0,107556.68421052632,107471.15789473684,85.52631578947368
District of Columbia,48336.0,2016.0,1329719.0,1322563.0,7156.0
Florida,41446.76119402985,2016.0,419785.0447761194,417091.2835820895,2693.7611940298507
Georgia,8811.658163265307,2016.0,98997.20918367348,97746.87755102041,1250.3316326530612
Hawaii,181995.0,2016.0,3030519.0,2733094.0,297425.0
Idaho,2369.387931034483,2016.0,19538.706896551725,18111.896551724138,1426.8103448275863
Illinois,2061.641624365482,2016.0,33410.109644670054,33540.34923857868,-130.23959390862944
Indiana,3203.5015974440894,2016.0,40677.830670926516,36853.95207667731,3823.8785942492013
Iowa,1472.504347826087,2016.0,20056.455072463767,20209.889855072463,-153.43478260869566
Kansas,1732.6748251748252,2016.0,21222.248251748253,21450.475524475525,-228.22727272727272
Kentucky,3967.8612716763005,2016.0,44774.15028901734,45007.40462427746,-233.2543352601156
Louisiana,9573.347826086956,2016.0,121697.62318840579,119545.79710144928,2151.8260869565215
Maine,694.5135135135135,2016.0,10986.065637065638,10448.274131274131,537.7915057915058
Maryland,36633.166666666664,2016.0,600388.375,583007.9583333334,17380.416666666668
Massachusetts,2878.215625,2016.0,54639.7,53243.375,1396.325
Michigan,2229.9048414023373,2016.0,32414.125208681136,30052.495826377297,2361.6293823038395
Minnesota,2069.2780612244896,2016.0,31087.07908163265,32777.92346938775,-1690.844387755102
Mississippi,3376.7013888888887,2016.0,33023.604166666664,32162.194444444445,861.4097222222222
Missouri,1721.146718146718,2016.0,21029.403474903476,20694.752895752896,334.6505791505792
Montana,338.5547785547786,2016.0,4197.923076923077,4381.79254079254,-183.86946386946386
Nebraska,1204.3587786259543,2016.0,16789.35496183206,17711.534351145037,-922.1793893129772
Nevada,25977.823529411766,2016.0,263699.17647058825,257308.76470588235,6390.411764705882
New Hampshire,1020.9204545454545,2016.0,17900.414772727272,17754.420454545456,145.9943181818182
New Jersey,2336.426369863014,2016.0,51391.55136986302,50797.04794520548,594.5034246575342
New Mexico,3593.9438202247193,2016.0,42304.14606741573,41903.33707865168,400.80898876404495
New York,3799.039589442815,2016.0,98112.40615835777,100120.27272727272,-2007.866568914956
North Carolina,12713.35652173913,2016.0,116939.52173913043,123542.51304347826,-6602.991304347826
North Dakota,523.5942028985507,2016.0,8641.299516908213,9486.135265700483,-844.8357487922706
Ohio,2240.2022471910113,2016.0,33379.956460674155,32798.47752808989,581.4789325842696
Oklahoma,1293.801923076923,2016.0,11737.938461538462,11892.6,-154.66153846153847
Oregon,2658.574074074074,2016.0,34342.84722222222,34731.26851851852,-388.4212962962963
Pennsylvania,2643.013445378151,2016.0,52230.73781512605,51975.08739495798,255.65042016806723
Rhode Island,3346.4,2016.0,60038.525,58966.35,1072.175
South Carolina,8351.91011235955,2016.0,102940.0786516854,103228.0786516854,-288.0
South Dakota,893.6333333333333,2016.0,9704.913333333334,9839.093333333334,-134.18
Tennessee,7037.077464788732,2016.0,67502.3309859155,68172.61971830986,-670.2887323943662
Texas,4831.062141491396,2016.0,55720.98948374761,56706.39005736138,-985.4005736137667
Utah,14151.585365853658,2016.0,120803.0,120089.19512195123,713.8048780487804
Vermont,278.3987341772152,2016.0,6684.699367088608,6590.810126582279,93.88924050632912
Virginia,9650.323308270677,2016.0,122250.18045112782,124041.5037593985,-1791.3233082706768
Washington,3565.7006578947367,2016.0,49224.88157894737,50175.31578947369,-950.4342105263158
West Virginia,4393.079365079365,2016.0,53834.5873015873,53437.555555555555,397.031746031746
Wisconsin,2013.4647887323943,2016.0,27458.840375586853,27670.269953051644,-211.42957746478874
Wyoming,1968.9791666666667,2016.0,42597.270833333336,42379.770833333336,217.5
