STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,Year
ALABAMA,2010,748889,7281058,1134111,3800128,7647571,3900492,2016
ALASKA,2010,131265,2230338,366970,1356673,2371251,1151630,2016
ARIZONA,2010,963517,8828122,1579806,3139588,8812967,4223152,2016
ARKANSAS,2010,474897,5069272,787738,3677112,5520387,2521528,2016
CALIFORNIA,2010,6213958,67356719,9715980,34173911,71227111,34657275,2016
COLORADO,2010,825242,8793676,714230,3817875,8914338,4232076,2016
CONNECTICUT,2010,534800,9726922,818573,3238401,9542108,5242817,2016
DELAWARE,2010,117628,1733458,180584,992422,1758988,901200,2016
DISTRICT_OF_COLUMBIA,2010,43866,1195934,80585,0,1290048,526469,2016
FLORIDA,2010,2627390,26231141,4200103,8216582,27267009,13869921,2016
GEORGIA,2010,1660643,17839851,2598486,6739406,17834488,9841382,2016
HAWAII,2010,180196,2564856,382400,2093300,2215458,1321657,2016
IDAHO,2010,266613,2177999,444112,1231537,2098737,1159932,2016
ILLINOIS,2010,2098401,28253620,3809939,8696107,28560306,14668228,2016
INDIANA,2010,1026053,14023240,1477561,7342841,11502534,5746633,2016
IOWA,2010,491255,5744872,728361,2217889,5941449,2970150,2016
KANSAS,2010,471406,5454128,673692,2860999,5979429,2837948,2016
KENTUCKY,2010,679901,6881951,1059915,3662243,7092071,3616584,2016
LOUISIANA,2010,663802,8091029,1549575,3348043,8125021,4136550,2016
MAINE,2010,187634,2721365,320917,1083913,2680693,1421800,2016
MARYLAND,2010,848252,13327770,1004498,5544725,13205691,7147880,2016
MASSACHUSETTS,2010,929569,14919763,1092892,5742989,14857823,8479433,2016
MICHIGAN,2010,1510716,19393461,2383817,9694417,19967017,9457233,2016
MINNESOTA,2010,799615,10383935,1245368,5978487,10564774,5676045,2016
MISSISSIPPI,2010,491651,4466377,945973,2109089,4504257,2337184,2016
MISSOURI,2010,897348,9587703,1430854,3471772,10139784,5237387,2016
MONTANA,2010,141693,1623971,256049,744931,1642886,895727,2016
NEBRASKA,2010,294948,3720560,465728,1184996,3640199,2089854,2016
NEVADA,2010,423859,4262471,358496,2341891,4260869,2117135,2016
NEW_HAMPSHIRE,2010,196648,2906573,185175,1060998,2856965,1612216,2016
NEW_JERSEY,2010,1369553,26676217,2386865,9059511,26736651,14481471,2016
NEW_MEXICO,2010,331436,3638606,753816,2307843,3814058,1800983,2016
NEW_YORK,2010,2697357,55453300,3694050,23111427,60067253,36628097,2016
NORTH_CAROLINA,2010,1444409,16621268,1927843,7451302,14162497,7637844,2016
NORTH_DAKOTA,2010,94997,1308214,277985,552616,1267426,627378,2016
OHIO,2010,1669748,23247907,2310440,9987732,22701333,10976072,2016
OKLAHOMA,2010,653592,5778507,768319,2658186,5971651,2900568,2016
OREGON,2010,560239,6219779,813110,2947614,6398065,3246437,2016
PENNSYLVANIA,2010,1682887,27883991,2977089,9430947,28231191,13442543,2016
RHODE_ISLAND,2010,141023,2207123,247217,736525,2187163,1238257,2016
SOUTH_CAROLINA,2010,715590,7755419,1058473,3377539,8242553,3797945,2016
SOUTH_DAKOTA,2010,123555,1292742,250554,398601,1281632,660064,2016
TENNESSEE,2010,971414,8405025,1094293,3834174,8760367,4934044,2016
TEXAS,2010,4728815,50559500,7984614,18899565,53810244,25097921,2016
UTAH,2010,538676,4250259,570301,2171889,4326951,2117551,2016
VERMONT,2010,87750,1749898,173528,1326528,1719870,890606,2016
VIRGINIA,2010,1244673,14937195,1532041,5489710,14919831,8049137,2016
WASHINGTON,2010,1034735,11919090,1400984,6931430,11820814,5934710,2016
WEST_VIRGINIA,2010,281828,3176874,513794,1677745,3484593,1978226,2016
WISCONSIN,2010,864898,11289720,1115342,4951919,11116821,5994721,2016
WYOMING,2010,87379,1718605,123942,880916,1696177,787627,2016
ALABAMA,2012,744621,7136949,789954,3948651,7222161,3695221,2016
ALASKA,2012,130771,2383402,352005,1507913,2483320,1255757,2016
ARIZONA,2012,942738,7934798,1050228,2845535,8054662,3917564,2016
ARKANSAS,2012,475671,5169926,666267,3823172,5299969,2548056,2016
CALIFORNIA,2012,6203034,69016392,8793325,36413273,70191877,34213049,2016
COLORADO,2012,843120,8616009,705634,3702427,8472536,4174705,2016
CONNECTICUT,2012,522451,10070907,509564,3735476,9791336,5485615,2016
DELAWARE,2012,118624,1855867,183793,1090060,1915966,1053066,2016
DISTRICT_OF_COLUMBIA,2012,44618,1331006,137742,0,1189542,594156,2016
FLORIDA,2012,2658559,24139266,3068321,8702317,25352047,13558844,2016
GEORGIA,2012,1669156,17559894,1862297,7455147,17400209,9611118,2016
HAWAII,2012,182706,2535038,318728,2161254,2344733,1262938,2016
IDAHO,2012,267556,1981482,266087,1238989,1911706,1073312,2016
ILLINOIS,2012,2071481,29900021,2430413,10142137,29067543,14896596,2016
INDIANA,2012,1006627,12395432,1096902,7462594,11351906,5659432,2016
IOWA,2012,495870,6262807,512246,2681035,6256926,3072424,2016
KANSAS,2012,485591,5613619,410051,3173205,5615714,2935226,2016
KENTUCKY,2012,681827,7192430,983232,3920971,7444529,3697663,2016
LOUISIANA,2012,665478,8477993,1527734,3588546,8504567,4365583,2016
MAINE,2012,187247,2611056,239982,1012326,2625759,1376755,2016
MARYLAND,2012,853778,13752912,859635,5980541,13212140,7140620,2016
MASSACHUSETTS,2012,922683,15763456,979175,6200945,15696061,8801567,2016
MICHIGAN,2012,1421312,18622316,1866406,9796808,18063824,9070480,2016
MINNESOTA,2012,799736,10681609,740098,6642440,10696348,5672620,2016
MISSISSIPPI,2012,490619,4477828,795110,2195720,4423270,2291333,2016
MISSOURI,2012,893221,10022622,994192,4115324,9910617,5056789,2016
MONTANA,2012,142237,1628318,214164,761029,1652537,888206,2016
NEBRASKA,2012,300941,3764056,366016,1166374,3880517,2247992,2016
