State,HS Graduates Going Directly to College (%),High School Graduates,First-Time College Freshmen
Alabama,83.60000000000001,147130.1,148014.4
Alaska,60.03333333333333,24032.9,24600.8
Arizona,72.46666666666667,199562.5,197990.7
Arkansas,86.43333333333332,91764.8,90422.6
California,81.39999999999999,1323615.4,1342586.2
Colorado,79.60000000000001,162465.3,160071.1
Connecticut,99.2,125347.6,128264.9
Delaware,82.03333333333332,29383.1,29894.5
Florida,84.26666666666667,531515.1,524485.2
Georgia,87.96666666666665,306587.6,300940.0
Hawaii,83.43333333333332,41158.2,41919.7
Idaho,60.63333333333333,57862.3,56115.8
Illinois,81.2,448933.1,457592.3
Indiana,83.56666666666666,215177.6,214652.0
Iowa,88.93333333333332,106398.0,107043.0
Kansas,86.66666666666667,102402.1,102169.8
Kentucky,83.16666666666667,139816.0,140472.0
Louisiana,90.26666666666667,134925.9,133774.7
Maine,73.8,46752.0,47855.6
Maryland,84.39999999999999,198081.4,202384.8
Massachusetts,97.46666666666665,225159.6,225326.1
Michigan,84.33333333333333,334221.9,341398.2
Minnesota,93.53333333333335,185211.8,186783.0
Mississippi,102.66666666666667,87380.5,88091.5
Missouri,81.5,207787.4,207968.6
Montana,78.66666666666667,29822.5,30310.1
Nebraska,87.39999999999999,66982.4,67057.8
Nevada,71.7,70642.6,69315.0
New Hampshire,82.86666666666667,49770.0,50744.8
New Jersey,92.53333333333332,322297.1,324495.1
New Mexico,91.3,59917.9,61447.3
New York,92.86666666666667,630885.0,639801.4
North Carolina,84.39999999999999,298824.0,296694.2
North Dakota,88.03333333333335,22521.4,22431.4
Ohio,82.03333333333333,387614.3,398019.8
Oklahoma,80.36666666666667,120011.1,118464.8
Oregon,64.0,112824.3,112878.3
Pennsylvania,81.3,430832.0,441387.4
Rhode Island,85.2,34859.8,35396.4
South Carolina,90.16666666666667,132269.6,131763.5
South Dakota,91.36666666666666,25688.6,26197.5
Tennessee,85.86666666666667,201259.3,203363.7
Texas,76.86666666666667,936542.0,913410.7
Utah,66.23333333333333,103900.0,99706.1
Vermont,70.83333333333333,22662.4,23540.6
Virginia,88.13333333333333,265382.6,266635.3
Washington,66.43333333333334,210404.5,210075.4
West Virginia,76.26666666666667,54449.5,54738.4
Wisconsin,80.53333333333333,201597.6,204605.6
Wyoming,75.8,17216.7,17151.5
