PRIMARY_KEY,STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE
2010_ALABAMA,ALABAMA,2010,748889,7281058,1134111,3800128,2346819,7647571,3900492,2308399,555539,729720,8179,57665,59117,57992,49719,467768,221940,755552,,,,
2010_ALASKA,ALASKA,2010,131265,2230338,366970,1356673,506695,2371251,1151630,856333,71634,229874,2990,10120,9917,9622,9643,78880,40114,132104,,,,
2010_ARIZONA,ARIZONA,2010,963517,8828122,1579806,3139588,4108728,8812967,4223152,2949514,400773,713810,8554,82860,82862,80636,81326,660440,319747,1071751,,,,
2010_ARKANSAS,ARKANSAS,2010,474897,5069272,787738,3677112,604422,5520387,2521528,1595730,639753,595456,14059,37701,36873,36237,30330,293680,136156,482114,,,,
2010_CALIFORNIA,CALIFORNIA,2010,6213958,67356719,9715980,34173911,23466828,71227111,34657275,20704755,3556156,7150441,72404,468036,463691,476639,492545,3749960,1993538,6289578,,,,
2010_COLORADO,COLORADO,2010,825242,8793676,714230,3817875,4261571,8914338,4232076,2807231,330789,1011988,30593,65182,63819,59684,60899,505302,242239,843316,,,,
2010_CONNECTICUT,CONNECTICUT,2010,534800,9726922,818573,3238401,5669948,9542108,5242817,2768520,331600,823081,15921,39670,41155,42346,41381,331884,173071,560546,,,,
2010_DELAWARE,DELAWARE,2010,117628,1733458,180584,992422,560452,1758988,901200,499586,79328,192826,1626,9810,9797,9504,8464,78843,39124,129403,,,,
2010_DISTRICT_OF_COLUMBIA,DISTRICT_OF_COLUMBIA,2010,43866,1195934,80585,0,1115349,1290048,526469,425379,40837,297363,9581,5939,4877,4307,3407,37867,17632,71284,,,,
2010_FLORIDA,FLORIDA,2010,2627390,26231141,4200103,8216582,13814456,27267009,13869921,8069310,1573867,2944085,52779,197097,200682,201676,178315,1608622,784849,2643347,,,,
2010_GEORGIA,GEORGIA,2010,1660643,17839851,2598486,6739406,8501959,17834488,9841382,5059938,822517,1814143,42816,132008,131326,123794,100392,1027655,474588,1677067,,,,
2010_HAWAII,HAWAII,2010,180196,2564856,382400,2093300,89156,2215458,1321657,697833,123051,72917,1393,16028,13457,12567,10818,109990,51975,179601,,,,
2010_IDAHO,IDAHO,2010,266613,2177999,444112,1231537,502350,2098737,1159932,638912,100157,135181,1821,21144,21575,20588,19362,171179,81715,275859,,,,
2010_ILLINOIS,ILLINOIS,2010,2098401,28253620,3809939,8696107,15747574,28560306,14668228,9146295,961079,1944264,78260,146225,153781,154293,146953,1230308,636861,2091654,,,,
2010_INDIANA,INDIANA,2010,1026053,14023240,1477561,7342841,5202838,11502534,5746633,3696608,492877,929416,11652,76765,82387,79790,74836,640997,317818,1047232,,,,
2010_IOWA,IOWA,2010,491255,5744872,728361,2217889,2798622,5941449,2970150,1622316,226336,811476,27211,39306,35071,35263,37704,281595,147663,495775,,,,
2010_KANSAS,KANSAS,2010,471406,5454128,673692,2860999,1919437,5979429,2837948,1529158,219287,1182167,17318,37023,35991,34220,33180,285250,139505,483701,,,,
2010_KENTUCKY,KENTUCKY,2010,679901,6881951,1059915,3662243,2159793,7092071,3616584,2117063,416036,747498,24260,51091,51189,48525,43723,404656,192661,673128,,,,
2010_LOUISIANA,LOUISIANA,2010,663802,8091029,1549575,3348043,3193411,8125021,4136550,2543542,402190,788979,29657,54276,58778,49523,38438,428333,184292,696558,,,,
2010_MAINE,MAINE,2010,187634,2721365,320917,1083913,1316535,2680693,1421800,874381,106653,157510,4247,13819,13728,14358,15315,110863,60148,189077,,,,
2010_MARYLAND,MARYLAND,2010,848252,13327770,1004498,5544725,6778547,13205691,7147880,4047487,481151,1107922,29377,62704,60765,61971,60555,496075,264055,852211,,,,
2010_MASSACHUSETTS,MASSACHUSETTS,2010,929569,14919763,1092892,5742989,8083882,14857823,8479433,4512401,442057,807802,27747,67496,71140,71588,67716,570283,289161,955563,,,,
2010_MICHIGAN,MICHIGAN,2010,1510716,19393461,2383817,9694417,7315227,19967017,9457233,6228939,879325,1201729,28187,112835,115722,118831,122236,929231,508868,1587067,,,,
2010_MINNESOTA,MINNESOTA,2010,799615,10383935,1245368,5978487,3160080,10564774,5676045,2504618,795088,949938,14405,62961,61627,61706,73661,492597,268074,838037,,,,
2010_MISSISSIPPI,MISSISSIPPI,2010,491651,4466377,945973,2109089,1411315,4504257,2337184,1399684,273024,421984,3447,38923,38295,36113,29668,303722,136277,490526,,,,
2010_MISSOURI,MISSOURI,2010,897348,9587703,1430854,3471772,4685077,10139784,5237387,3043213,549680,926566,28495,69376,68313,66944,65990,545120,275719,918710,,,,
2010_MONTANA,MONTANA,2010,141693,1623971,256049,744931,622991,1642886,895727,531730,68814,110195,1351,11115,10751,10729,10316,86025,43202,141693,,,,
2010_NEBRASKA,NEBRASKA,2010,294948,3720560,465728,1184996,2069836,3640199,2089854,927065,152158,371348,12656,23411,21901,20875,22236,174225,88208,298500,,,,
2010_NEVADA,NEVADA,2010,423859,4262471,358496,2341891,1562084,4260869,2117135,1359161,142848,381094,4444,32454,34047,33070,29207,269773,129831,437149,,,,
2010_NEW_HAMPSHIRE,NEW_HAMPSHIRE,2010,196648,2906573,185175,1060998,1660400,2856965,1612216,837094,76110,131261,3097,11970,14294,15407,15019,116509,63135,194711,,,,
2010_NEW_JERSEY,NEW_JERSEY,2010,1369553,26676217,2386865,9059511,15229841,26736651,14481471,8958765,962529,1154089,53564,92413,98641,99630,97358,794568,405143,1402548,,,,
2010_NEW_MEXICO,NEW_MEXICO,2010,331436,3638606,753816,2307843,576947,3814058,1800983,1178045,135042,634137,7980,26688,25955,24469,20594,204677,98777,338122,,,,
2010_NEW_YORK,NEW_YORK,2010,2697357,55453300,3694050,23111427,28647823,60067253,36628097,14152383,1433218,6125749,51649,194607,198720,203761,191528,1609766,851829,2734955,,,,
2010_NORTH_CAROLINA,NORTH_CAROLINA,2010,1444409,16621268,1927843,7451302,7242123,14162497,7637844,3873929,705012,1192652,23510,115782,118617,111112,91541,918327,432196,1490605,,,,
2010_NORTH_DAKOTA,NORTH_DAKOTA,2010,94997,1308214,277985,552616,477613,1267426,627378,342204,80790,142873,1529,7449,6974,7298,7581,57057,30288,96323,,,,
2010_OHIO,OHIO,2010,1669748,23247907,2310440,9987732,10949735,22701333,10976072,7468941,923709,2451038,30047,129964,133202,133210,118946,1062797,531383,1754191,,,,
2010_OKLAHOMA,OKLAHOMA,2010,653592,5778507,768319,2658186,2352002,5971651,2900568,1901671,624330,471937,40688,52114,48519,45737,39634,389362,175949,659911,,,,
2010_OREGON,OREGON,2010,560239,6219779,813110,2947614,2459055,6398065,3246437,2054025,219391,573818,9392,40656,42924,42834,46212,342553,178119,570720,,,,
2010_PENNSYLVANIA,PENNSYLVANIA,2010,1682887,27883991,2977089,9430947,15475955,28231191,13442543,7774897,1183764,2208448,16294,128120,132497,135876,141710,1064238,582442,1793284,,,,
2010_RHODE_ISLAND,RHODE_ISLAND,2010,141023,2207123,247217,736525,1223381,2187163,1238257,758963,89242,40673,2054,10057,10865,10954,10466,85623,46059,143793,,,,
